id_kit,timestamp,VWC_20cm_%,VWC_40cm_%,T_soil_C,SWT_20cm_cBar,SWT_40cm_cBar,temperatura_ambiente
KIT_001,2026-06-17 23:34:00,34.42,40.57,21.81,5.29,3.97,20.64
KIT_001,2026-06-17 23:35:00,35.07,39.84,21.74,5.32,4.5,21.56
KIT_001,2026-06-17 23:36:00,34.99,39.98,22.05,5.39,4.19,20.71
KIT_001,2026-06-17 23:37:00,34.98,41.04,21.94,4.89,3.95,21.13
KIT_001,2026-06-17 23:38:00,35.02,39.9,21.54,5.0,4.04,20.96
KIT_001,2026-06-17 23:39:00,34.67,39.82,21.98,4.84,4.4,21.4
KIT_001,2026-06-17 23:40:00,35.0,40.45,22.02,4.94,3.97,21.4
KIT_001,2026-06-17 23:41:00,35.02,39.62,21.83,5.09,3.8,21.39
KIT_001,2026-06-17 23:42:00,34.67,40.18,21.59,4.48,3.79,21.75
KIT_001,2026-06-17 23:43:00,35.58,40.91,21.86,5.14,3.69,21.58
KIT_001,2026-06-17 23:44:00,35.09,39.81,21.83,4.54,3.78,21.16
KIT_001,2026-06-17 23:45:00,34.51,39.69,21.58,4.72,3.78,21.38
KIT_001,2026-06-17 23:46:00,35.16,39.85,21.48,5.08,4.4,21.51
KIT_001,2026-06-17 23:47:00,34.59,40.58,21.73,4.82,4.02,21.33
KIT_001,2026-06-17 23:48:00,35.21,40.66,21.67,4.79,3.92,20.96
KIT_001,2026-06-17 23:49:00,35.34,40.18,21.6,4.38,3.63,20.53
KIT_001,2026-06-17 23:50:00,34.65,40.55,21.64,4.38,3.93,20.95
KIT_001,2026-06-17 23:51:00,35.28,40.78,21.41,4.85,3.51,20.97
KIT_001,2026-06-17 23:52:00,35.07,40.89,21.51,4.54,3.84,20.53
KIT_001,2026-06-17 23:53:00,35.21,40.27,21.66,4.65,4.43,20.65
KIT_001,2026-06-17 23:54:00,35.57,39.64,21.45,5.09,4.07,20.54
KIT_001,2026-06-17 23:55:00,34.81,40.07,21.15,4.67,3.84,20.83
KIT_001,2026-06-17 23:56:00,34.63,40.18,21.35,5.08,4.05,20.86
KIT_001,2026-06-17 23:57:00,34.57,40.22,21.19,5.1,3.74,20.61
KIT_001,2026-06-17 23:58:00,34.58,40.23,21.42,5.17,3.66,20.21
KIT_001,2026-06-17 23:59:00,34.83,40.62,21.4,5.12,4.27,20.44
KIT_001,2026-06-18 00:00:00,34.97,40.65,20.97,5.19,3.55,20.24
KIT_001,2026-06-18 00:01:00,34.94,40.21,21.41,5.14,3.73,19.97
KIT_001,2026-06-18 00:02:00,35.11,40.6,21.05,5.49,3.88,20.56
KIT_001,2026-06-18 00:03:00,34.8,40.39,21.59,5.16,3.55,19.89
KIT_001,2026-06-18 00:04:00,35.29,40.31,21.28,5.53,3.93,20.27
KIT_001,2026-06-18 00:05:00,34.66,40.57,21.05,5.19,3.67,20.37
KIT_001,2026-06-18 00:06:00,35.69,40.33,21.09,4.94,3.89,20.13
KIT_001,2026-06-18 00:07:00,34.93,40.93,21.4,5.1,3.85,20.39
KIT_001,2026-06-18 00:08:00,34.39,39.89,21.26,5.01,3.63,20.53
KIT_001,2026-06-18 00:09:00,34.3,40.18,21.33,5.33,4.1,20.4
KIT_001,2026-06-18 00:10:00,34.82,40.3,21.68,4.94,3.48,20.5
KIT_001,2026-06-18 00:11:00,34.55,40.48,21.23,4.92,3.97,20.45
KIT_001,2026-06-18 00:12:00,34.88,40.73,21.36,5.37,3.9,20.57
KIT_001,2026-06-18 00:13:00,34.8,40.34,21.6,5.18,4.03,20.26
KIT_001,2026-06-18 00:14:00,34.62,39.92,21.35,5.49,3.61,20.19
KIT_001,2026-06-18 00:15:00,34.35,40.59,20.95,5.42,3.35,20.22
KIT_001,2026-06-18 00:16:00,34.12,40.57,21.35,4.91,4.04,20.46
KIT_001,2026-06-18 00:17:00,34.5,39.76,20.99,5.41,3.42,19.68
KIT_001,2026-06-18 00:18:00,34.96,40.33,21.48,5.57,3.28,19.84
KIT_001,2026-06-18 00:19:00,34.74,39.86,21.01,5.61,3.41,20.58
KIT_001,2026-06-18 00:20:00,34.23,40.13,21.74,5.5,3.2,20.03
KIT_001,2026-06-18 00:21:00,34.73,40.06,21.41,5.52,3.55,19.81
KIT_001,2026-06-18 00:22:00,34.81,40.56,20.97,5.19,3.3,20.14
KIT_001,2026-06-18 00:23:00,34.36,40.35,21.14,5.05,3.42,19.78
KIT_001,2026-06-18 00:24:00,34.73,39.92,21.29,5.16,3.76,19.48
KIT_001,2026-06-18 00:25:00,34.69,40.56,21.3,4.82,3.71,20.13
KIT_001,2026-06-18 00:26:00,34.27,39.85,21.24,5.56,3.59,19.89
KIT_001,2026-06-18 00:27:00,34.8,40.38,21.41,5.14,3.67,20.13
KIT_001,2026-06-18 00:28:00,34.87,40.02,21.14,5.52,3.66,20.22
KIT_001,2026-06-18 00:29:00,35.06,40.15,21.1,4.88,3.58,20.2
KIT_001,2026-06-18 00:30:00,35.05,40.4,21.11,5.44,3.73,19.77
KIT_001,2026-06-18 00:31:00,34.2,40.4,21.36,5.04,3.88,20.24
KIT_001,2026-06-18 00:32:00,34.37,40.64,21.21,4.83,3.74,20.21
KIT_001,2026-06-18 00:33:00,34.9,40.21,21.14,5.56,3.88,19.62
KIT_001,2026-06-18 00:34:00,34.93,40.33,21.18,5.42,3.58,19.46
KIT_001,2026-06-18 00:35:00,34.95,40.1,20.56,5.19,3.65,19.44
KIT_001,2026-06-18 00:36:00,36.14,40.29,20.97,5.14,3.62,19.76
KIT_001,2026-06-18 00:37:00,35.01,40.37,20.9,5.24,3.67,18.94
KIT_001,2026-06-18 00:38:00,35.23,40.2,21.13,5.17,4.14,19.52
KIT_001,2026-06-18 00:39:00,35.19,39.69,20.44,4.92,4.01,19.28
KIT_001,2026-06-18 00:40:00,35.11,40.33,21.0,5.01,3.57,18.98
KIT_001,2026-06-18 00:41:00,34.79,40.34,20.65,5.6,3.96,18.55
KIT_001,2026-06-18 00:42:00,35.16,40.03,20.72,5.79,3.74,18.72
KIT_001,2026-06-18 00:43:00,34.63,39.85,20.96,5.52,3.65,19.11
KIT_001,2026-06-18 00:44:00,34.81,40.68,20.73,5.26,3.43,19.23
KIT_001,2026-06-18 00:45:00,34.72,40.39,20.69,5.06,4.02,18.66
KIT_001,2026-06-18 00:46:00,34.92,40.18,20.65,4.96,3.42,19.21
KIT_001,2026-06-18 00:47:00,35.7,39.91,20.5,4.98,3.74,19.09
KIT_001,2026-06-18 00:48:00,34.23,40.01,20.59,5.03,3.49,18.92
KIT_001,2026-06-18 00:49:00,35.12,40.65,20.45,5.72,3.91,18.74
KIT_001,2026-06-18 00:50:00,34.32,40.31,20.58,5.64,3.61,18.78
KIT_001,2026-06-18 00:51:00,34.71,40.1,20.11,5.39,3.65,19.38
KIT_001,2026-06-18 00:52:00,35.26,40.42,20.65,4.92,3.67,18.94
KIT_001,2026-06-18 00:53:00,34.91,40.03,20.52,5.34,3.79,19.21
KIT_001,2026-06-18 00:54:00,34.51,40.72,20.46,5.02,3.73,18.91
KIT_001,2026-06-18 00:55:00,34.64,40.68,20.56,4.5,3.73,18.71
KIT_001,2026-06-18 00:56:00,35.13,40.13,20.21,5.07,3.63,18.94
KIT_001,2026-06-18 00:57:00,34.64,40.08,20.87,4.74,3.38,19.3
KIT_001,2026-06-18 00:58:00,34.98,39.48,20.45,4.71,3.51,18.58
KIT_001,2026-06-18 00:59:00,34.92,39.83,20.42,4.81,3.98,18.94
KIT_001,2026-06-18 01:00:00,34.68,39.87,20.24,4.71,3.74,18.73
KIT_001,2026-06-18 01:01:00,35.66,40.31,20.42,4.78,3.66,18.29
KIT_001,2026-06-18 01:02:00,35.12,40.17,20.66,4.76,3.48,18.2
KIT_001,2026-06-18 01:03:00,34.18,39.87,20.55,4.31,3.4,18.36
KIT_001,2026-06-18 01:04:00,34.94,40.19,20.47,5.15,3.66,18.47
KIT_001,2026-06-18 01:05:00,34.63,40.43,20.37,4.52,4.06,18.51
KIT_001,2026-06-18 01:06:00,35.15,40.44,20.15,4.52,3.7,17.81
KIT_001,2026-06-18 01:07:00,34.57,39.71,19.89,4.67,3.94,18.27
KIT_001,2026-06-18 01:08:00,34.79,40.25,20.1,4.72,3.69,17.99
KIT_001,2026-06-18 01:09:00,35.0,39.87,20.05,5.11,4.01,17.93
KIT_001,2026-06-18 01:10:00,35.11,40.56,20.27,4.8,3.76,17.98
KIT_001,2026-06-18 01:11:00,34.38,40.53,20.08,4.87,3.54,18.18
KIT_001,2026-06-18 01:12:00,34.7,40.03,20.37,4.81,3.77,17.91
KIT_001,2026-06-18 01:13:00,34.67,40.08,20.32,4.8,4.28,17.59
KIT_001,2026-06-18 01:14:00,34.62,40.18,20.02,4.83,4.26,17.98
KIT_001,2026-06-18 01:15:00,35.48,39.65,19.78,4.28,3.92,18.33
KIT_001,2026-06-18 01:16:00,35.02,40.43,20.45,4.71,3.76,18.43
KIT_001,2026-06-18 01:17:00,34.45,40.26,20.47,5.07,3.85,18.47
KIT_001,2026-06-18 01:18:00,35.23,40.64,19.96,5.77,3.85,18.27
KIT_001,2026-06-18 01:19:00,35.67,40.02,20.56,4.49,3.74,18.14
KIT_001,2026-06-18 01:20:00,35.31,40.18,20.37,4.91,3.85,18.73
KIT_001,2026-06-18 01:21:00,34.43,39.92,20.35,4.67,3.78,18.37
KIT_001,2026-06-18 01:22:00,34.8,40.06,20.63,5.28,3.65,18.82
KIT_001,2026-06-18 01:23:00,35.43,40.01,20.56,4.38,3.43,18.8
KIT_001,2026-06-18 01:24:00,34.75,40.65,20.41,4.83,3.61,18.48
KIT_001,2026-06-18 01:25:00,35.17,40.14,20.36,4.27,3.92,18.55
KIT_001,2026-06-18 01:26:00,35.3,40.38,20.37,4.5,3.71,18.61
KIT_001,2026-06-18 01:27:00,34.72,40.23,20.16,4.53,3.79,18.38
KIT_001,2026-06-18 01:28:00,35.04,39.95,20.21,4.76,3.64,18.16
KIT_001,2026-06-18 01:29:00,33.94,40.28,20.03,4.17,3.44,18.48
KIT_001,2026-06-18 01:30:00,34.73,40.5,20.13,4.56,3.64,18.48
KIT_001,2026-06-18 01:31:00,35.01,39.96,20.11,4.35,3.44,18.78
KIT_001,2026-06-18 01:32:00,34.65,40.56,20.03,4.5,3.44,18.21
KIT_001,2026-06-18 01:33:00,35.65,40.06,20.17,4.76,4.03,18.64
KIT_001,2026-06-18 01:34:00,34.56,40.17,20.06,4.28,3.64,18.05
KIT_001,2026-06-18 01:35:00,34.9,40.47,20.2,4.89,3.58,17.96
KIT_001,2026-06-18 01:36:00,35.09,40.11,19.76,4.63,4.18,18.18
KIT_001,2026-06-18 01:37:00,35.53,40.32,20.04,5.13,4.0,17.99
KIT_001,2026-06-18 01:38:00,34.51,40.21,20.07,5.02,3.72,17.85
KIT_001,2026-06-18 01:39:00,35.41,40.34,19.97,4.97,3.93,18.64
KIT_001,2026-06-18 01:40:00,35.0,39.59,19.97,4.96,3.79,18.0
KIT_001,2026-06-18 01:41:00,34.64,39.75,19.67,5.4,3.69,18.65
KIT_001,2026-06-18 01:42:00,35.14,40.49,20.04,5.46,3.98,17.79
KIT_001,2026-06-18 01:43:00,35.05,40.62,20.08,4.97,3.78,17.58
KIT_001,2026-06-18 01:44:00,34.76,40.04,20.03,4.77,3.88,18.3
KIT_001,2026-06-18 01:45:00,35.0,40.25,20.13,5.18,4.12,17.76
KIT_001,2026-06-18 01:46:00,34.84,40.42,19.94,4.6,4.09,17.94
KIT_001,2026-06-18 01:47:00,35.01,40.54,19.98,4.59,3.72,17.53
KIT_001,2026-06-18 01:48:00,35.2,39.73,19.9,4.61,3.98,17.83
KIT_001,2026-06-18 01:49:00,35.52,40.08,19.98,4.73,3.58,17.46
KIT_001,2026-06-18 01:50:00,34.53,40.25,19.51,4.45,3.97,17.75
KIT_001,2026-06-18 01:51:00,35.71,40.57,19.63,4.26,3.9,17.61
KIT_001,2026-06-18 01:52:00,34.26,41.12,20.09,4.47,3.92,17.7
KIT_001,2026-06-18 01:53:00,34.87,40.31,19.24,4.93,3.71,17.7
KIT_001,2026-06-18 01:54:00,35.11,39.96,19.66,4.46,4.27,17.51
KIT_001,2026-06-18 01:55:00,34.98,40.52,19.88,4.71,3.49,17.47
KIT_001,2026-06-18 01:56:00,34.64,40.8,19.59,5.3,3.92,17.23
KIT_001,2026-06-18 01:57:00,34.77,40.45,19.48,4.81,3.39,17.06
KIT_001,2026-06-18 01:58:00,34.65,40.15,19.55,4.92,3.73,17.19
KIT_001,2026-06-18 01:59:00,34.59,40.72,19.41,4.62,3.72,16.95
KIT_001,2026-06-18 02:00:00,35.08,40.64,19.45,5.41,3.55,16.86
KIT_001,2026-06-18 02:01:00,34.88,40.14,19.26,4.74,3.38,16.89
KIT_001,2026-06-18 02:02:00,33.76,39.11,20.59,5.96,4.94,19.66
KIT_001,2026-06-18 02:03:00,34.31,39.3,20.65,6.35,4.99,20.26
KIT_001,2026-06-18 02:04:00,34.1,39.36,20.34,5.98,5.39,19.83
KIT_001,2026-06-18 02:05:00,34.27,38.99,20.09,6.04,4.74,19.9
KIT_001,2026-06-18 02:06:00,34.2,38.91,20.26,5.96,4.85,19.84
KIT_001,2026-06-18 02:07:00,33.68,39.39,20.32,5.97,5.08,20.0
KIT_001,2026-06-18 02:08:00,33.77,38.66,20.46,6.13,4.96,19.91
KIT_001,2026-06-18 02:09:00,34.23,39.16,20.15,6.18,5.02,19.79
KIT_001,2026-06-18 02:10:00,34.17,38.62,20.2,5.88,5.34,20.15
KIT_001,2026-06-18 02:11:00,33.95,39.36,20.45,5.86,4.38,18.97
KIT_001,2026-06-18 02:12:00,33.99,38.96,20.54,5.9,4.96,20.06
KIT_001,2026-06-18 02:13:00,34.41,39.42,20.26,5.71,4.67,20.06
KIT_001,2026-06-18 02:14:00,33.77,39.19,20.15,5.67,4.8,19.44
KIT_001,2026-06-18 02:15:00,34.18,38.67,21.11,6.15,5.69,20.21
KIT_001,2026-06-18 02:16:00,33.93,39.46,20.64,6.32,5.23,20.32
KIT_001,2026-06-18 02:17:00,33.93,39.5,20.46,6.31,5.31,20.27
KIT_001,2026-06-18 02:18:00,34.41,39.3,20.72,5.5,5.05,19.81
KIT_001,2026-06-18 02:19:00,34.32,38.8,20.56,6.04,5.25,20.45
KIT_001,2026-06-18 02:20:00,34.33,38.94,20.79,5.84,4.61,20.61
KIT_001,2026-06-18 02:21:00,34.51,39.07,20.68,6.16,5.31,20.29
KIT_001,2026-06-18 02:22:00,34.08,38.82,20.7,6.03,4.84,20.62
KIT_001,2026-06-18 02:23:00,34.32,39.53,20.69,6.23,4.94,20.5
KIT_001,2026-06-18 02:24:00,33.99,39.05,20.46,6.03,5.24,20.89
KIT_001,2026-06-18 02:25:00,34.23,38.19,21.18,5.51,5.23,20.67
KIT_001,2026-06-18 02:26:00,34.08,39.09,20.64,5.69,5.21,20.69
KIT_001,2026-06-18 02:27:00,34.17,38.87,20.59,5.89,4.88,20.9
KIT_001,2026-06-18 02:28:00,34.36,38.94,20.85,5.86,5.29,20.66
KIT_001,2026-06-18 02:29:00,33.88,38.84,20.74,5.44,5.54,21.04
KIT_001,2026-06-18 02:30:00,34.91,39.18,20.96,5.35,5.2,21.25
KIT_001,2026-06-18 02:31:00,33.84,39.27,21.14,5.7,5.7,21.46
KIT_001,2026-06-18 02:32:00,33.79,39.0,21.24,5.29,5.19,21.39
KIT_001,2026-06-18 02:33:00,34.6,38.82,21.17,5.26,5.38,20.88
KIT_001,2026-06-18 02:34:00,34.45,38.9,20.92,5.61,5.72,21.48
KIT_001,2026-06-18 02:35:00,34.37,38.92,20.96,5.64,5.13,21.41
KIT_001,2026-06-18 02:36:00,34.35,38.67,21.0,5.58,5.53,20.99
KIT_001,2026-06-18 02:37:00,34.11,39.08,20.54,5.67,5.72,20.69
KIT_001,2026-06-18 02:38:00,33.78,39.05,20.97,5.89,5.24,20.65
KIT_001,2026-06-18 02:39:00,34.1,39.37,20.54,5.75,5.03,20.65
KIT_001,2026-06-18 02:40:00,33.82,39.28,21.21,5.99,4.93,20.68
KIT_001,2026-06-18 02:41:00,34.38,38.7,20.69,5.91,5.41,20.44
KIT_001,2026-06-18 02:42:00,33.97,39.15,20.7,6.09,5.37,20.21
KIT_001,2026-06-18 02:43:00,33.73,38.61,20.6,6.27,5.41,20.71
KIT_001,2026-06-18 02:44:00,33.91,39.1,20.64,6.26,5.04,20.54
KIT_001,2026-06-18 02:45:00,34.17,38.74,21.24,6.37,5.31,20.24
KIT_001,2026-06-18 02:46:00,33.83,38.59,20.99,6.26,5.03,20.6
KIT_001,2026-06-18 02:47:00,33.74,38.97,20.51,6.1,4.82,20.6
KIT_001,2026-06-18 02:48:00,34.11,38.09,21.13,5.94,5.33,20.4
KIT_001,2026-06-18 02:49:00,34.11,38.36,21.08,5.95,5.45,20.91
KIT_001,2026-06-18 02:50:00,33.85,38.83,20.8,5.82,4.79,20.67
KIT_001,2026-06-18 02:51:00,33.86,38.91,20.94,6.04,4.78,20.61
KIT_001,2026-06-18 02:52:00,34.11,38.77,20.89,6.21,5.05,20.67
KIT_001,2026-06-18 02:53:00,33.5,38.4,21.34,5.87,5.29,20.94
KIT_001,2026-06-18 02:54:00,33.49,38.63,20.85,6.04,4.77,20.96
KIT_001,2026-06-18 02:55:00,33.71,38.99,21.1,5.89,5.12,21.1
KIT_001,2026-06-18 02:56:00,33.86,39.05,21.04,6.12,4.92,21.53
KIT_001,2026-06-18 02:57:00,34.02,38.87,20.9,5.94,5.26,21.05
KIT_001,2026-06-18 02:58:00,34.41,39.22,21.69,5.9,4.89,21.24
KIT_001,2026-06-18 02:59:00,34.17,38.99,21.07,5.92,5.29,21.89
KIT_001,2026-06-18 03:00:00,33.79,38.64,21.41,6.22,5.06,22.44
KIT_001,2026-06-18 03:01:00,33.82,38.78,21.08,6.08,4.88,22.2
KIT_001,2026-06-18 03:02:00,33.45,38.44,21.41,6.0,5.14,22.59
KIT_001,2026-06-18 03:03:00,33.78,38.83,21.57,6.24,4.63,21.99
KIT_001,2026-06-18 03:04:00,33.67,39.2,21.31,6.13,4.96,21.91
KIT_001,2026-06-18 03:05:00,33.86,39.08,21.59,6.58,5.18,22.15
KIT_001,2026-06-18 03:06:00,33.45,39.3,21.41,6.11,4.65,22.25
KIT_001,2026-06-18 03:07:00,33.9,38.79,21.69,6.37,4.44,21.66
KIT_001,2026-06-18 03:08:00,34.24,39.29,21.73,6.13,4.49,21.9
KIT_001,2026-06-18 03:09:00,33.65,38.83,21.33,6.46,5.4,21.92
KIT_001,2026-06-18 03:10:00,33.81,39.33,21.46,6.19,5.04,21.73
KIT_001,2026-06-18 03:11:00,33.9,38.89,21.47,6.85,4.91,21.73
KIT_001,2026-06-18 03:12:00,33.5,39.11,21.55,6.92,5.28,22.06
KIT_001,2026-06-18 03:13:00,33.72,39.33,21.42,6.9,4.97,21.91
KIT_001,2026-06-18 03:14:00,33.65,38.83,21.44,6.68,5.16,21.94
KIT_001,2026-06-18 03:15:00,33.68,38.94,21.33,6.42,5.13,21.77
KIT_001,2026-06-18 03:16:00,33.37,39.25,21.39,6.41,5.03,21.41
KIT_001,2026-06-18 03:17:00,33.65,38.82,21.61,6.96,5.25,21.68
KIT_001,2026-06-18 03:18:00,33.82,38.46,21.46,6.9,5.4,21.28
KIT_001,2026-06-18 03:19:00,34.15,39.49,21.46,6.54,5.18,21.39
KIT_001,2026-06-18 03:20:00,33.98,38.7,21.45,6.35,5.14,21.15
KIT_001,2026-06-18 03:21:00,34.4,38.88,21.26,6.79,5.2,21.2
KIT_001,2026-06-18 03:22:00,33.38,39.17,21.33,6.25,4.74,21.32
KIT_001,2026-06-18 03:23:00,33.95,38.63,21.09,6.47,5.34,21.28
KIT_001,2026-06-18 03:24:00,33.7,38.5,21.61,6.75,4.94,21.26
KIT_001,2026-06-18 03:25:00,34.4,38.87,20.84,6.2,5.36,21.86
KIT_001,2026-06-18 03:26:00,33.34,38.25,21.42,6.61,5.14,21.64
KIT_001,2026-06-18 03:27:00,33.32,38.69,21.7,6.53,5.16,21.63
KIT_001,2026-06-18 03:28:00,33.4,38.84,21.24,6.39,5.27,21.58
KIT_001,2026-06-18 03:29:00,32.86,38.68,21.64,6.14,4.83,21.48
KIT_001,2026-06-18 03:30:00,33.41,38.28,21.46,6.21,5.11,21.98
KIT_001,2026-06-18 03:31:00,33.32,39.22,21.57,6.46,5.05,21.79
KIT_001,2026-06-18 03:32:00,33.63,38.76,21.87,6.02,4.9,22.4
KIT_001,2026-06-18 03:33:00,33.7,39.16,21.71,6.45,4.72,22.19
KIT_001,2026-06-18 03:34:00,34.23,38.66,21.25,6.59,5.11,22.53
KIT_001,2026-06-18 03:35:00,33.9,38.48,21.45,6.74,5.14,22.16
KIT_001,2026-06-18 03:36:00,33.37,38.83,21.84,6.18,5.0,21.88
KIT_001,2026-06-18 03:37:00,33.25,38.69,21.72,6.89,4.71,21.56
KIT_001,2026-06-18 03:38:00,33.73,38.41,21.97,7.03,4.85,22.19
KIT_001,2026-06-18 03:39:00,33.1,39.21,21.95,6.74,4.98,21.62
KIT_001,2026-06-18 03:40:00,34.2,38.58,21.53,6.42,5.17,21.81
KIT_001,2026-06-18 03:41:00,33.97,38.22,22.09,6.63,4.61,22.29
KIT_001,2026-06-18 03:42:00,33.39,39.18,21.58,6.74,4.87,21.98
KIT_001,2026-06-18 03:43:00,32.94,38.63,21.4,6.8,4.91,21.95
KIT_001,2026-06-18 03:44:00,34.0,38.6,21.48,6.72,4.99,22.12
KIT_001,2026-06-18 03:45:00,33.47,38.26,21.17,6.76,4.68,22.13
KIT_001,2026-06-18 03:46:00,33.93,39.31,21.96,6.65,4.95,22.33
KIT_001,2026-06-18 03:47:00,32.93,38.4,21.97,6.72,4.92,21.81
KIT_001,2026-06-18 03:48:00,33.26,38.81,21.47,6.52,4.74,21.89
KIT_001,2026-06-18 03:49:00,33.46,39.07,21.64,6.53,4.97,21.78
KIT_001,2026-06-18 03:50:00,33.46,38.92,21.72,6.45,4.86,22.03
KIT_001,2026-06-18 03:51:00,33.28,38.78,21.52,7.06,5.12,22.03
KIT_001,2026-06-18 03:52:00,33.64,38.29,21.38,6.93,4.77,21.65
KIT_001,2026-06-18 03:53:00,33.04,38.55,21.72,6.73,5.05,21.99
KIT_001,2026-06-18 03:54:00,33.35,38.84,21.73,6.96,4.87,22.59
KIT_001,2026-06-18 03:55:00,33.44,38.54,21.75,6.86,4.97,22.36
KIT_001,2026-06-18 03:56:00,33.57,38.83,21.91,6.74,5.23,22.55
KIT_001,2026-06-18 03:57:00,33.63,38.97,22.18,6.35,5.26,22.41
KIT_001,2026-06-18 03:58:00,32.98,39.05,21.87,6.69,5.14,22.04
KIT_001,2026-06-18 03:59:00,32.83,38.38,22.0,6.71,5.22,22.56
KIT_001,2026-06-18 04:00:00,33.8,39.4,22.14,6.54,4.96,22.92
KIT_001,2026-06-18 04:01:00,33.46,38.97,22.14,6.49,5.72,22.44
KIT_001,2026-06-18 04:02:00,33.08,38.73,21.94,7.01,5.58,22.99
KIT_001,2026-06-18 04:03:00,33.88,39.05,22.04,6.98,5.59,22.26
KIT_001,2026-06-18 04:04:00,33.37,39.42,22.09,6.61,5.06,22.58
KIT_001,2026-06-18 04:05:00,33.74,38.27,21.72,6.72,5.33,22.6
KIT_001,2026-06-18 04:06:00,33.35,38.63,22.16,7.2,5.41,22.27
KIT_001,2026-06-18 04:07:00,34.05,37.98,22.15,6.69,5.04,22.85
KIT_001,2026-06-18 04:08:00,33.94,38.74,21.68,6.96,5.76,21.99
KIT_001,2026-06-18 04:09:00,33.23,38.78,21.83,6.87,5.93,21.86
